elapsed_time,ax,ay,az,vibration
00:00:11.471,2200.0,-372.0,-18352.0,2103.14
00:00:11.504,2260.0,-368.0,-18364.0,2122.20
00:00:11.536,2284.0,-396.0,-18200.0,1963.03
00:00:11.568,2244.0,-420.0,-18364.0,2121.36
00:00:11.600,2324.0,-384.0,-18268.0,2035.24
00:00:11.633,2284.0,-296.0,-18276.0,2036.54
00:00:11.665,2244.0,-384.0,-18392.0,2148.37
00:00:11.698,2424.0,-416.0,-18252.0,2032.96
00:00:11.729,2216.0,-516.0,-18192.0,1949.73
00:00:11.761,2216.0,-380.0,-18296.0,2049.63
00:00:11.793,2172.0,-328.0,-18332.0,2079.14
00:00:11.826,2172.0,-368.0,-18344.0,2091.80
00:00:11.858,2260.0,-476.0,-18356.0,2116.73
00:00:11.890,2296.0,-364.0,-18428.0,2190.05
00:00:11.921,2256.0,-456.0,-18400.0,2159.39
00:00:11.953,2196.0,-372.0,-18368.0,2118.55
00:00:11.986,2152.0,-404.0,-18400.0,2145.82
00:00:12.018,2252.0,-488.0,-18284.0,2044.63
00:00:12.050,2296.0,-460.0,-18404.0,2168.37
00:00:12.083,2236.0,-344.0,-18292.0,2047.37
00:00:12.114,2252.0,-316.0,-18380.0,2136.14
00:00:12.145,2280.0,-404.0,-18380.0,2141.28
00:00:12.177,2272.0,-364.0,-18204.0,1964.84
00:00:12.210,2204.0,-488.0,-18352.0,2106.31
00:00:12.242,2320.0,-384.0,-18324.0,2090.27
00:00:12.274,2260.0,-464.0,-18360.0,2120.39
00:00:12.305,2312.0,-508.0,-18332.0,2100.20
00:00:12.338,2268.0,-396.0,-18408.0,2167.42
00:00:12.369,2248.0,-496.0,-18248.0,2008.64
00:00:12.401,2256.0,-388.0,-18440.0,2197.54
00:00:12.433,2316.0,-396.0,-18328.0,2093.99
00:00:12.465,2264.0,-364.0,-18300.0,2059.11
00:00:12.497,2244.0,-384.0,-18424.0,2180.13
00:00:12.528,2252.0,-500.0,-18164.0,1925.90
00:00:12.561,2316.0,-368.0,-18464.0,2228.32
00:00:12.593,2308.0,-312.0,-18252.0,2015.99
00:00:12.625,2396.0,-332.0,-18388.0,2162.42
00:00:12.657,2172.0,-480.0,-18396.0,2146.00
