time_unit,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,acc_mag,mean_ax,std_ax,rms_ax,min_ax,max_ax,range_ax,mean_ay,std_ay,rms_ay,min_ay,max_ay,range_ay,mean_az,std_az,rms_az,min_az,max_az,range_az,mean_acc_mag,std_acc_mag,rms_acc_mag,energy_acc_mag
27529,192,-404,15052,-109,80,-111,15058.6448261455,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27530,112,-384,15060,-105,102,-118,15065.3111484629,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27531,148,-232,15128,-123,99,-104,15130.5027014967,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27532,212,-384,15192,-123,81,-111,15198.330960997,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27533,156,-364,15096,-113,90,-126,15101.1935952096,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27534,52,-404,15244,-131,96,-91,15249.4411700888,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27535,108,-380,15220,-139,92,-89,15225.1260750117,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27536,200,-324,15192,-110,114,-114,15196.7707095949,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27537,216,-288,15188,-139,98,-105,15192.2659271091,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27538,144,-384,15076,-124,82,-108,15081.57710586,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27539,176,-404,15028,-131,82,-124,15034.4596178246,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27540,236,-340,15240,-147,99,-113,15245.6189116743,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27541,164,-304,15256,-136,117,-115,15259.9098293535,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27542,156,-352,15112,-123,82,-102,15116.9039158156,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27543,208,-388,15200,-147,72,-127,15206.3739267453,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27544,72,-320,15196,-125,81,-104,15199.5394667075,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27545,124,-392,15204,-133,93,-97,15209.5580474911,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27546,148,-352,15064,-112,96,-97,15068.8388404681,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27547,140,-272,15120,-136,83,-105,15123.0943923524,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27548,12,-392,15176,-120,91,-113,15181.0666291931,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27549,124,-320,15188,-130,101,-90,15191.8767767515,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27550,172,-320,14996,-113,94,-122,15000.3999946668,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27551,244,-344,15100,-132,87,-128,15105.8886531048,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27552,136,-352,15200,-115,88,-97,15204.683488978,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27553,140,-448,15124,-112,88,-112,15131.2815055434,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27554,172,-268,15104,-119,94,-124,15107.3566185485,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27555,96,-364,15188,-115,86,-111,15192.6645457602,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27556,80,-384,15120,-112,78,-91,15125.0869749565,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27557,100,-292,15180,-122,73,-115,15183.1374886747,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27558,184,-340,15176,-120,68,-109,15180.9232920794,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27559,188,-364,15060,-126,59,-118,15065.5713466168,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27560,152,-312,15068,-115,88,-128,15071.9962845006,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27561,216,-436,15164,-136,96,-113,15171.8043752218,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27562,168,-396,15188,-122,102,-103,15194.090430164,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27563,116,-372,15140,-106,88,-133,15145.0137008852,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27564,192,-304,15056,-127,87,-98,15060.2926930389,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27565,132,-312,15244,-117,102,-103,15247.7639016349,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27566,236,-372,15080,-137,90,-120,15086.4336408576,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27567,160,-392,15112,-140,100,-89,15117.9300170361,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27568,160,-420,15252,-115,81,-116,15258.6206453926,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
27569,96,-408,15092,-142,104,-116,15097.8191802657,Err:502,Err:502,Err:502,Err:502,Err:502,,,,,,,,,,,,,,,,,
