time,ax,ay,az,gx,gy,gz,sw420
23:58:03:034,²ax,ay,az,gx,gy,gz,sw420
23:59:50:697,-1476,-960,19888,-360,-560,-66,1
23:59:50:948,-360,2176,14468,-312,615,-130,0
23:59:51:200,5464,588,7884,-2845,1123,-497,1
23:59:51:454,-2560,1520,18816,361,-1224,-59,0
23:59:51:704,-704,-7080,32767,2610,507,-6,0
23:59:51:959,-5948,2348,12060,1517,-3307,186,1
23:59:52:213,-2172,-3712,17068,-578,-1049,-40,1
23:59:52:461,72,-10628,21436,2294,-1474,7,1
23:59:52:712,112,2140,25332,27,5827,-230,1
23:59:52:967,-2012,1380,13004,-108,222,-91,1
23:59:53:223,-3752,-2576,17920,-1495,-582,-261,1
23:59:53:472,-300,-220,13252,-325,-388,-122,1
23:59:53:724,-168,-352,15368,-206,239,-114,0
23:59:53:977,-332,-64,14848,-185,-170,-109,0
23:59:54:228,-128,-304,15820,-152,-26,-126,0
23:59:54:481,-1816,720,10896,-313,-36,-140,0
23:59:54:729,-264,-440,15024,30,23,-85,0
23:59:54:983,-108,-540,15268,-57,80,-111,0
23:59:55:237,-172,-436,15160,-102,59,-124,0
23:59:55:489,-204,-292,14816,-154,77,-121,0
23:59:55:742,-256,-204,14800,-144,-38,-121,0
23:59:55:994,-304,-900,14772,-121,14,-103,0
23:59:56:246,-196,-428,14972,-138,27,-110,0
23:59:56:499,-192,-340,15152,-149,58,-120,0
23:59:56:751,-232,-296,14912,-158,67,-125,0
23:59:57:003,-300,-428,14956,-159,53,-104,0
23:59:57:255,-272,-292,15044,-150,79,-120,0
23:59:57:508,-136,-304,14676,-177,85,-133,0
23:59:57:760,-120,-224,15048,-175,73,-115,0
23:59:58:011,-96,-436,14920,-135,89,-117,0
23:59:58:265,-240,-300,15032,-138,56,-119,0
23:59:58:517,-188,-268,14708,-174,82,-133,0
23:59:58:769,-244,-360,14940,-163,76,-107,0
23:59:59:022,-140,-296,14784,-174,88,-126,0
23:59:59:274,-212,-456,14928,-175,80,-137,0
23:59:59:526,-200,-380,14984,-167,64,-106,0
23:59:59:779,-224,-388,15012,-154,54,-142,0
00:00:00:031,-320,-388,15056,-150,61,-114,0
00:00:00:283,-260,-300,15096,-158,61,-139,0
00:00:00:536,-136,-580,15000,-135,51,-107,0
00:00:00:788,-92,-320,15080,-130,59,-116,0
00:00:01:040,-128,-436,15032,-166,41,-116,0
00:00:01:295,-4508,-6664,23180,816,-829,-65,1
00:00:01:548,-1212,2832,19568,-1372,943,-152,1
00:00:01:799,-4496,-2060,8936,-526,-2765,75,1
00:00:02:052,7088,836,-5300,-1316,1758,-211,1
00:00:02:304,4432,4524,23896,-194,2882,-287,1
00:00:02:557,-624,1908,12612,-1280,-845,-128,0
00:00:02:808,1592,-4904,32767,906,-58,-127,0
00:00:03:064,10764,9400,-17788,-4133,436,-476,1
00:00:03:314,-2120,-1172,13764,2288,-1338,99,1
00:00:03:569,-3056,-2792,32748,-362,-3751,-104,1
00:00:03:817,7264,2788,8584,-1101,-40,-124,1
00:00:04:070,1444,1116,-9392,-172,1577,-137,1
00:00:04:324,-1280,2980,1580,-3146,-537,-379,1
00:00:04:577,-4124,-5020,14432,-194,-2592,-45,1
00:00:04:827,8200,-4296,20748,1938,2643,-72,1
00:00:05:080,-632,-2716,1004,631,-1558,-123,1
00:00:05:329,1376,6512,5120,-154,280,-38,1
00:00:05:582,-132,648,11708,-295,912,-144,0
00:00:05:836,-460,-252,14672,-107,210,-145,0
00:00:06:085,-404,-288,14936,-71,77,-98,0
00:00:06:339,-284,-464,14320,-183,569,-98,0
00:00:06:592,-304,-288,15304,-185,262,-95,1
00:00:06:844,-256,-116,15020,-157,30,-130,0
00:00:07:097,-272,-220,14844,-152,105,-116,0
00:00:07:347,-48,-396,14944,-138,50,-135,0
00:00:07:601,-564,-760,16376,-217,181,-95,0
00:00:07:852,-228,-332,14740,-173,0,-112,1
