sample_id,RMS,Std,Kurtosis,Skewness,Crest_Factor,Shape_Factor,Energy,AR1,AR2,AR_Residual_Std,Corr_XZ,Corr_YZ,Band1_Energy,Band2_Energy,Band3_Energy,Band4_Energy,Spectral_Centroid,Spectral_Entropy
1598,115.98584490742826,114.69716648636096,11.033853522680717,-2.55548056414327,5.338222957237884,1.465639510114421,1076217.2975112,0.2074466943730896,-0.11991879620564135,112.62983289294165,0.029556614749296307,-0.5470205029726881,0.35097079411461185,0.1951061185750899,0.3462358390190188,0.10768724829127951,0.8861162437590366,3.3708030211533098
1678,162.8216200904843,158.79382072360372,7.034358222630088,-1.3359665010400572,3.8026786593545574,1.482220349729207,2120870.3975112,0.09462408477531489,0.0008451318474526101,160.7086197552764,-0.18572419709760107,-0.5859097608765073,0.3479998888160589,0.12516743278978737,0.34663029987065386,0.18020237852349988,0.9541736468197233,3.1831784332001045
1718,352.1916550102941,348.35527841558536,-0.33967671187541937,-0.3551524064690867,1.7580152487762015,1.293521356651652,9923116.9487112,-0.009678749919174662,0.014821871987820423,352.6242041766785,-0.5125065276410955,-0.5441967203156001,0.2403366831756906,0.2673949308345697,0.24800661040992167,0.2442617755798181,0.9550895101965907,3.4129475873447497
1758,493.1850761416955,492.4784233852281,-1.6103846194121798,-0.16917479157261747,1.255427890972893,1.0966659543234833,19458521.5463112,-0.1127836954302537,0.0264544279442138,493.10597526797454,-0.48753970355316106,-0.5659267150886894,0.19980180223987112,0.2175649321940417,0.29092129068489975,0.2917119748811874,1.0014860041667906,3.2123598754557383
1798,510.13058165423683,509.69987247398836,-1.6932767060164995,-0.0211026006886926,1.2137251171887988,1.0920736495276333,20818656.8271112,-0.1914514727151247,-0.018328685635528193,496.9228552077866,-0.528972328505794,-0.5748770394260184,0.16080472377531865,0.259116360188617,0.3349614769388486,0.2451174390972157,1.0325767091003788,3.3803520554130846
1838,360.87733873005936,360.75467772435053,-0.48576693178041586,-0.22179963022188884,1.715702909411462,1.3617338210158032,10418596.288711201,-0.06396225844234729,-0.03826135867004441,364.2478099333922,-0.5545343908409266,-0.5278630215932085,0.1847801335334226,0.2844193489617111,0.2479893599498409,0.2828111575550255,0.9977711731256022,3.278445350493964
1878,99.28682223180476,80.94799256312662,-0.5269730007569553,0.3022804671791,2.586865952866267,1.2566723744211092,788629.8455112001,0.33428424834227083,0.18276277550522216,85.11179674950172,0.009706678544125583,0.004073906474966298,0.6172659602970337,0.1979117941023788,0.08286717514558886,0.10195507045499855,0.8014769177658967,2.2796769916373587
1918,85.72828412426088,66.22265473385977,-0.2805468093523036,-0.1862869299899128,2.5294067438167867,1.1775051242914725,587947.0959111999,0.28496617313830896,0.3557141826030815,69.9249801321889,-0.09809767113116033,-0.09466847521702945,0.6945374796396445,0.13833842767687282,0.04259760610482361,0.12452648657865914,0.7647932958764584,2.0156808037687686
1958,82.11409141487226,67.61610385107974,-0.13297824962875104,0.10350624502931115,2.7381621853883598,1.2235210904537244,539417.9207112,0.27888552671428923,0.27480489009284154,70.55017343382632,-0.03078868455759749,-0.17023785508120404,0.6449863297568246,0.13547648927553135,0.10811208898124153,0.11142509198640264,0.7986849646875795,2.3498880553888926
1998,86.12783713115057,69.11510326983532,0.1007130169096726,0.009535356013930485,2.6105578345983864,1.2600074892966833,593440.3463112,0.2323458488352493,0.3031735307107484,74.32133431405957,0.03330283218486185,-0.060535398557899106,0.6363571151126807,0.11824043037862557,0.14079678981663304,0.10460566469206078,0.8215962102413188,2.1739864219543517
2038,78.53679067093333,61.54183536424633,0.10135645039394792,-0.15903960255870556,2.1498421129433005,1.265170300883804,493442.1991112,0.3068258505679694,0.32552452790757774,60.78543126686801,0.15759668945382135,-0.06036440302043297,0.6764619076688141,0.08337299025535215,0.128554638531849,0.11161046354398485,0.8584162572470031,2.1122903788077965
2078,84.41822527683226,67.76540415285663,0.3366849804782581,0.027134483207896822,2.9003417117192622,1.275914154604911,570114.9407112,0.2195205357747821,0.31061845546979894,72.86364448000548,0.16752159171261133,-0.1768861536464619,0.6538518463804313,0.08844130818773757,0.14569671857920546,0.11201012685262586,0.8520442213831946,2.234347339347119
2158,96.6617939978873,75.59391509903426,-0.07662243600659879,-0.2665035886852301,2.5329728517670396,1.205816553470338,747480.1935112,0.27877314060222674,0.23959145917962746,83.09794103120291,-0.017566097908262794,-0.08754080269186519,0.6580989184353873,0.09435919496549999,0.1412942651297592,0.10624762146935343,0.8383424275106032,2.102830750846284
2198,274.6264063393941,265.597063236776,1.3948449696632705,-0.2901453308529973,2.254547580667077,1.4622126783199718,6033573.0447112,-0.179881623310966,0.18402710514359533,257.5164528930003,-0.1571987821664574,-0.5066538927519927,0.2666264736346395,0.19543090358346074,0.11781166216337675,0.42013096061852295,1.0558017684846357,3.2552501249653765
